TransactionID,AccountID,TransactionAmount,Transaction Date,TransactionType,Location,DeviceID,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Previous Transaction Date
Tx000002,Ac00455,376,11-04-2023,Debit,Houston,D000051,M052,Atm,68,Doctor,141,1,13759,04-11-2024
Tx000003,Ac00019,126,27-06-2023,Debit,Mesa,D000235,M009,Online,19,Student,56,1,1122,04-11-2024
Tx000004,Ac00070,185,10-07-2023,Debit,Raleigh,D000187,M002,Online,26,Student,25,1,8569,04-11-2024
Tx000005,Ac00411,13,05-05-2023,Credit,Atlanta,D000308,M091,Online,26,Student,198,1,7429,04-11-2024
Tx000006,Ac00393,92,16-10-2023,Debit,Oklahoma City,D000579,M054,Atm,18,Student,172,1,782,04-11-2024
Tx000007,Ac00199,7,03-04-2023,Credit,Seattle,D000241,M019,Atm,37,Doctor,139,1,13317,04-11-2024
Tx000008,Ac00069,171,15-02-2023,Credit,Indianapolis,D000500,M020,Branch,67,Retired,291,1,2796,04-11-2024
Tx000009,Ac00135,106,08-05-2023,Credit,Detroit,D000690,M035,Branch,51,Engineer,86,1,9095,04-11-2024
Tx000010,Ac00385,816,21-03-2023,Debit,Nashville,D000199,M007,Atm,55,Doctor,120,1,1022,04-11-2024
Tx000011,Ac00150,18,31-03-2023,Credit,Albuquerque,D000205,M073,Online,52,Engineer,59,1,7600,04-11-2024
Tx000012,Ac00459,190,14-03-2023,Debit,Memphis,D000589,M030,Online,21,Student,173,1,1529,04-11-2024
Tx000013,Ac00392,495,06-02-2023,Credit,Mesa,D000032,M057,Branch,24,Student,111,1,1620,04-11-2024
Tx000014,Ac00264,782,07-06-2023,Debit,Memphis,D000054,M025,Atm,26,Student,123,1,190,04-11-2024
Tx000015,Ac00085,167,20-11-2023,Debit,Louisville,D000309,M017,Online,18,Student,134,1,300,04-11-2024
Tx000016,Ac00270,465,13-02-2023,Debit,Denver,D000466,M025,Atm,36,Engineer,129,1,3466,04-11-2024
Tx000017,Ac00317,556,12-12-2023,Credit,Austin,D000671,M048,Branch,19,Student,158,1,1131,04-11-2024
Tx000018,Ac00359,493,30-10-2023,Debit,Columbus,D000432,M059,Online,39,Engineer,234,1,5110,04-11-2024
Tx000019,Ac00242,19,14-12-2023,Credit,Albuquerque,D000530,M054,Branch,59,Retired,106,1,7948,04-11-2024
Tx000020,Ac00285,71,21-02-2023,Credit,Columbus,D000039,M039,Online,18,Student,169,1,6569,04-11-2024
Tx000021,Ac00002,59,08-06-2023,Debit,Los Angeles,D000152,M040,Branch,71,Retired,38,1,5751,04-11-2024
Tx000022,Ac00014,86,28-02-2023,Debit,Las Vegas,D000268,M065,Branch,38,Doctor,93,1,9146,04-11-2024
Tx000023,Ac00095,52,11-08-2023,Debit,Atlanta,D000142,M022,Online,39,Engineer,120,1,8975,04-11-2024
Tx000024,Ac00453,346,06-06-2023,Debit,Fort Worth,D000162,M083,Online,22,Student,142,3,1403,04-11-2024
Tx000025,Ac00241,146,02-05-2023,Debit,Raleigh,D000036,M028,Online,21,Student,96,1,1931,04-11-2024
Tx000026,Ac00041,7,02-03-2023,Credit,Houston,D000671,M043,Online,65,Retired,276,1,3635,04-11-2024
Tx000027,Ac00441,247,20-10-2023,Debit,Miami,D000046,M029,Atm,23,Student,158,5,673,04-11-2024
Tx000028,Ac00057,40,17-04-2023,Debit,Milwaukee,D000310,M008,Branch,37,Engineer,95,1,2687,04-11-2024
Tx000029,Ac00390,127,29-03-2023,Debit,Las Vegas,D000232,M092,Online,44,Doctor,197,1,1772,04-11-2024
Tx000030,Ac00313,56,24-01-2023,Debit,Detroit,D000297,M043,Branch,27,Student,283,1,1352,04-11-2024
Tx000031,Ac00367,28,20-09-2023,Credit,Miami,D000587,M091,Online,59,Doctor,20,1,8334,04-11-2024
Tx000032,Ac00291,59,17-07-2023,Debit,Baltimore,D000282,M053,Atm,29,Doctor,257,1,9824,04-11-2024
Tx000033,Ac00060,396,06-02-2023,Debit,New York,D000621,M007,Atm,49,Engineer,168,3,9690,04-11-2024
Tx000034,Ac00359,878,25-09-2023,Debit,Los Angeles,D000111,M094,Online,22,Student,150,1,399,04-11-2024
Tx000035,Ac00365,255,13-03-2023,Credit,San Francisco,D000357,M002,Branch,45,Doctor,50,1,14816,04-11-2024
Tx000036,Ac00267,125,27-10-2023,Debit,Seattle,D000042,M002,Branch,49,Engineer,45,1,5765,04-11-2024
Tx000037,Ac00404,78,16-10-2023,Debit,Milwaukee,D000250,M028,Branch,26,Student,145,1,901,04-11-2024
Tx000038,Ac00202,649,21-11-2023,Debit,San Jose,D000448,M074,Atm,75,Retired,137,1,4876,04-11-2024
Tx000039,Ac00478,795,02-03-2023,Debit,Mesa,D000077,M048,Atm,66,Doctor,90,2,7915,04-11-2024
Tx000040,Ac00405,336,12-10-2023,Debit,Oklahoma City,D000038,M040,Online,55,Retired,216,1,1019,04-11-2024
Tx000041,Ac00421,328,24-01-2023,Debit,San Antonio,D000557,M014,Atm,63,Retired,119,1,4324,04-11-2024
Tx000042,Ac00480,34,31-07-2023,Debit,Philadelphia,D000627,M046,Online,38,Doctor,19,1,14214,04-11-2024
Tx000043,Ac00120,241,09-01-2023,Credit,Charlotte,D000198,M044,Online,57,Doctor,116,1,13357,04-11-2024
Tx000044,Ac00117,55,20-04-2023,Debit,Tucson,D000197,M009,Atm,19,Student,117,1,242,04-11-2024
Tx000045,Ac00011,304,12-04-2023,Debit,Louisville,D000685,M005,Branch,27,Student,33,1,869,04-11-2024
Tx000046,Ac00401,435,26-07-2023,Debit,Chicago,D000297,M051,Branch,74,Retired,90,1,4673,04-11-2024
Tx000047,Ac00282,164,04-10-2023,Debit,Baltimore,D000103,M070,Branch,26,Student,75,1,1509,04-11-2024
Tx000048,Ac00439,510,13-12-2023,Debit,Oklahoma City,D000397,M090,Online,19,Student,105,1,782,04-11-2024
Tx000049,Ac00296,627,09-10-2023,Debit,Denver,D000284,M023,Online,26,Student,138,1,266,04-11-2024
Tx000050,Ac00471,22,27-11-2023,Credit,Sacramento,D000304,M055,Online,41,Engineer,175,1,1335,04-11-2024
Tx000051,Ac00159,425,27-03-2023,Credit,Kansas City,D000661,M040,Online,69,Retired,121,1,3908,04-11-2024
Tx000052,Ac00482,425,13-02-2023,Debit,Omaha,D000598,M015,Online,51,Engineer,264,1,5184,04-11-2024
Tx000053,Ac00115,85,21-02-2023,Debit,Virginia Beach,D000235,M078,Branch,67,Doctor,145,1,14905,04-11-2024
Tx000054,Ac00055,170,07-06-2023,Debit,San Diego,D000442,M036,Branch,28,Student,142,1,919,04-11-2024
Tx000055,Ac00419,105,07-09-2023,Debit,Omaha,D000642,M095,Atm,62,Retired,90,1,4478,04-11-2024
Tx000056,Ac00374,317,29-03-2023,Debit,Mesa,D000013,M052,Branch,25,Student,83,1,1324,04-11-2024
Tx000057,Ac00271,61,04-08-2023,Credit,Columbus,D000462,M095,Branch,57,Retired,52,1,3535,04-11-2024
